,Mkt-RF,SMB,HML,RMW,CMA,RF
20111122,-0.44,-0.34,-0.53,0.14,-0.24,0
20111123,-2.29,-0.71,-0.28,0.67,0.17,0
20111125,-0.34,-0.99,0.48,-0.23,0.38,0
20111128,3.1,1.53,-0.64,-0.62,-0.54,0
20111129,0.18,-0.53,0.11,0.34,0.35,0
20111130,4.44,1.11,1.17,-1.2,-0.02,0
20111201,-0.22,-0.54,-0.67,0.34,-0.17,0
20111202,0.05,0.54,0.63,-0.39,0.31,0
20111205,1.09,0.29,0.29,-0.69,-0.38,0
20111206,0.04,-0.08,0.04,0.06,0.18,0
20111207,0.16,-0.21,0.74,0.01,0.4,0
20111208,-2.23,-0.78,-1.03,0.98,-0.03,0
20111209,1.83,1.31,0.13,-0.33,-0.21,0
20111212,-1.48,0.05,-0.49,0.67,0.28,0
20111213,-1.05,-1,0.08,0.25,0.1,0
20111214,-1.21,-0.28,0.91,-0.1,0.74,0
20111215,0.4,0.67,0.16,0.28,0.53,0
20111216,0.45,0.27,-0.06,0.11,-0.11,0
20111219,-1.31,-0.47,-0.71,0.76,-0.1,0
20111220,3.1,0.8,0.35,-0.76,-0.18,0
20111221,0.2,0.05,1.29,-0.2,0.95,0
20111222,0.83,-0.17,0.66,-0.82,-0.01,0
20111223,0.84,-0.57,-0.12,0.3,-0.03,0
20111227,0.04,0.47,-0.55,0.41,-0.24,0
20111228,-1.34,-0.7,-0.08,0.24,0.25,0
20111229,1.1,0.24,0.29,-0.2,0.09,0
20111230,-0.4,-0.08,-0.18,-0.04,0.05,0
20120103,1.5,-0.11,0.92,-0.74,-0.17,0
20120104,0,-0.62,0.03,0.31,-0.06,0
20120105,0.39,0.19,0.19,-0.4,0.07,0
20120106,-0.19,-0.04,-0.27,-0.03,-0.03,0
20120109,0.28,0.26,-0.06,-0.21,0.26,0
20120110,0.97,0.38,0.38,-0.81,0,0
20120111,0.13,0.15,0.32,-0.83,0.24,0
20120112,0.31,0.28,0,-0.21,0.05,0
20120113,-0.52,-0.23,-0.43,0.64,0.1,0
20120117,0.36,-0.12,-0.75,0.63,-0.33,0
20120118,1.22,0.58,0.19,-0.66,-0.13,0
20120119,0.51,-0.15,-0.21,-0.18,-0.22,0
20120120,0.03,0.28,0.65,0,0.1,0
20120123,0.02,-0.23,0.16,0.29,-0.4,0
20120124,0,0.73,-0.32,-0.4,-0.23,0
20120125,0.91,0.06,-0.8,0.32,-0.19,0
20120126,-0.59,0.21,-0.45,0.25,-0.06,0
20120127,0.01,0.81,-0.13,-0.33,-0.14,0
20120130,-0.31,-0.46,-0.29,0.46,0.03,0
20120131,-0.05,-0.04,0.01,-0.06,-0.14,0
20120201,1.1,1.08,0.38,-0.52,0.29,0
20120202,0.17,0.37,0.01,-0.46,0.01,0
20120203,1.58,0.62,0.38,-0.7,-0.21,0
20120206,-0.05,-0.28,-0.21,-0.03,-0.22,0
20120207,0.16,-0.28,-0.09,0.17,0.01,0
20120208,0.25,-0.1,0.46,-0.2,0.01,0
20120209,0.15,-0.38,-0.31,0.23,0.03,0
20120210,-0.75,-0.59,-0.05,0.3,0.14,0
20120213,0.75,0.58,-0.06,-0.22,0.02,0
20120214,-0.09,-0.39,-0.36,0.55,-0.21,0
20120215,-0.5,-0.27,0.09,-0.15,0.07,0
20120216,1.27,0.69,0.33,-0.29,-0.16,0
20120217,0.16,-0.23,0.51,0.09,0.29,0
20120221,-0.05,-0.61,0.26,0.18,-0.33,0
20120222,-0.39,-0.39,-0.66,0.46,-0.15,0
20120223,0.56,0.9,-0.03,-0.44,0.23,0
20120224,0.15,-0.49,-0.64,0.18,-0.21,0
20120227,0.14,-0.14,0.37,0.04,0.13,0
20120228,0.28,-0.6,-0.11,0.15,-0.03,0
20120229,-0.55,-1.05,0.16,0.19,0.29,0
20120301,0.64,-0.16,0.06,-0.04,-0.07,0
20120302,-0.46,-1.25,-0.06,0.15,0.35,0
20120305,-0.4,0.47,0.28,0.19,0.36,0
20120306,-1.62,-0.32,-0.36,0.54,-0.21,0
20120307,0.8,0.3,0.28,-0.38,0.05,0
20120308,1.07,0.37,-0.25,-0.17,0.07,0
20120309,0.49,0.89,0.16,-0.22,0.01,0
20120312,-0.07,-0.21,-0.07,0.29,0.06,0
20120313,1.86,0.16,0.97,-0.73,-0.04,0
20120314,-0.23,-0.63,-0.2,0.42,0.16,0
20120315,0.67,0.3,0.51,-0.56,0.18,0
20120316,0.06,-0.29,0.37,-0.44,-0.18,0
20120319,0.41,0.51,-0.04,-0.13,-0.35,0
20120320,-0.39,-0.61,0.3,0.06,0.13,0
20120321,-0.1,0.28,-0.41,0.12,0.09,0
20120322,-0.74,-0.13,-0.45,0.58,-0.03,0
20120323,0.39,0.58,0.36,-0.35,-0.21,0
20120326,1.45,0.48,-0.21,0.11,-0.17,0
20120327,-0.3,-0.38,-0.34,0.06,-0.12,0
20120328,-0.52,0,0.5,-0.22,0.38,0
20120329,-0.16,-0.05,-0.27,0.18,0.11,0
20120330,0.28,-0.7,-0.04,-0.01,0.17,0
20120402,0.77,0.36,0.07,0.14,-0.33,0
20120403,-0.34,-0.32,-0.28,0.18,0.2,0
20120404,-1.11,-0.6,-0.04,0.31,0.34,0
20120405,-0.03,-0.12,-0.42,0.22,-0.18,0
20120409,-1.21,-0.44,-0.08,0.54,0.17,0
20120410,-1.85,-0.43,0.09,0.24,0.07,0
20120411,0.85,0.79,0.27,-0.31,0.15,0
20120412,1.44,0.07,0.29,-0.51,-0.19,0
20120413,-1.25,-0.19,-0.75,0.73,0.09,0
20120416,-0.09,0.19,0.82,-0.19,0.43,0
20120417,1.55,0.04,-0.21,-0.12,-0.35,0
20120418,-0.43,-0.47,-0.45,0.38,-0.11,0
20120419,-0.57,-0.04,0.25,-0.26,0.31,0
20120420,0.11,0.51,-0.1,0.38,0.61,0
20120423,-0.95,-0.51,0.15,0.07,0,0
20120424,0.29,0.29,0.91,-0.6,0.69,0
20120425,1.44,0.36,-0.98,0.27,-0.74,0
20120426,0.75,-0.03,-0.06,-0.24,-0.23,0
20120427,0.35,0.68,-0.25,0.11,-0.16,0
20120430,-0.49,-0.6,0,-0.03,-0.12,0
20120501,0.48,-0.78,0.41,-0.06,0.05,0
20120502,-0.15,0.66,-0.67,0.45,0.25,0
20120503,-0.92,-0.63,0.01,0.42,0.28,0
20120504,-1.62,-0.24,0.18,0.16,0.15,0
20120507,0.04,0.14,0.46,-0.38,0.29,0
20120508,-0.41,0.34,0.32,0.13,0.23,0
20120509,-0.62,0.14,-0.24,0.01,-0.1,0
20120510,0.29,0.08,0.56,-0.12,0.5,0
20120511,-0.29,0.12,-1.07,0,-0.06,0
20120514,-1.14,-0.14,-0.16,0.11,0.04,0
20120515,-0.52,0.52,-0.21,0.37,0.01,0
20120516,-0.44,-0.17,-0.44,0.66,0.24,0
20120517,-1.64,-0.49,0.38,0.1,-0.03,0
20120518,-0.8,-0.15,0.07,0.16,0.38,0
20120521,1.69,0.55,-1.1,-0.29,-0.62,0
20120522,0,-0.85,0.35,-0.11,-0.01,0
20120523,0.26,0.5,-0.23,-0.04,-0.07,0
20120524,0.16,0.02,0.18,0.36,0.54,0
20120525,-0.16,0.24,-0.14,0.18,0.13,0
20120529,1.14,0.17,-0.02,-0.37,-0.06,0
20120530,-1.47,-0.3,-0.32,0.62,-0.05,0
20120531,-0.23,0.2,0.53,-0.15,0.24,0
20120601,-2.6,-0.57,0.06,0.2,0.05,0
20120604,-0.05,0.11,-0.59,0.33,-0.41,0
20120605,0.68,0.26,0.17,-0.63,-0.03,0
20120606,2.32,0.1,0.28,-0.47,-0.11,0
20120607,-0.1,-0.46,0.21,0.06,0.24,0
20120608,0.85,0.22,0.05,-0.1,0.11,0
20120611,-1.41,-0.83,-0.1,0.49,0.3,0
20120612,1.16,0.14,0.11,-0.3,-0.01,0
20120613,-0.77,-0.45,0.27,0.19,0.12,0
20120614,1.04,0.21,0.32,-0.09,0.37,0
20120615,1.07,0.1,-0.03,-0.24,-0.42,0
20120618,0.21,0.09,-0.87,0.19,-0.15,0
20120619,1.09,0.7,0.28,-0.42,-0.32,0
20120620,-0.14,-0.08,0.17,0.03,-0.02,0
20120621,-2.26,-0.2,0.18,0.2,0.65,0
20120622,0.79,0.63,0.18,-0.27,-0.05,0
20120625,-1.63,0.08,-0.28,0.5,0.2,0
20120626,0.52,-0.1,0.03,-0.21,0.04,0
20120627,0.92,0.41,0.47,-0.54,-0.01,0
20120628,-0.24,0.21,0.31,0.21,0.48,0
20120629,2.55,0.3,-0.61,-0.29,-0.58,0
20120702,0.33,0.71,-0.06,-0.23,0.23,0
20120703,0.76,0.67,0.07,0.12,-0.6,0
20120705,-0.36,0.44,-0.84,0.59,-0.26,0
20120706,-0.99,-0.34,0.39,0.16,0.65,0
20120709,-0.23,-0.22,-0.22,0.25,-0.01,0
20120710,-0.84,-0.37,0.33,0.02,0.25,0
20120711,-0.09,-0.28,0.78,-0.15,0.07,0
20120712,-0.5,0.15,-0.72,-0.15,0.07,0
20120713,1.62,-0.29,0.56,-0.17,0.03,0
20120716,-0.31,-0.39,-0.2,-0.01,0.02,0
20120717,0.67,-0.53,0.29,-0.12,0.19,0
20120718,0.71,0.19,-0.82,0.47,-0.74,0
20120719,0.27,-0.46,-0.95,0.52,-0.85,0
20120720,-1.06,-0.38,0.08,0.03,0.33,0
20120723,-1.02,-0.66,0.19,0.08,0.38,0
20120724,-0.99,-0.57,0.3,-0.27,0,0
20120725,-0.01,0.23,0,-0.52,0.06,0
20120726,1.53,-0.8,0.34,0.07,0.27,0
20120727,1.96,0.55,0.07,-0.17,-0.35,0
20120730,-0.13,-0.4,0.23,0.22,0.32,0
20120731,-0.47,0,0.2,0.47,0.01,0
20120801,-0.5,-1.55,0.36,0.05,0.18,0
20120802,-0.69,0.17,-0.34,-0.03,0,0
20120803,1.99,0.63,0.51,-0.26,-0.17,0
20120806,0.34,0.54,0.02,-0.36,-0.13,0
20120807,0.64,0.41,0.08,0.06,-0.56,0
20120808,0.09,-0.18,0.63,0.18,0.4,0
20120809,0.12,0.33,0.04,-0.21,-0.37,0
20120810,0.17,-0.36,-0.05,0.13,0.07,0
20120813,-0.14,-0.16,0.02,-0.06,0.04,0
20120814,-0.03,-0.44,-0.03,0.31,0.24,0
20120815,0.27,0.72,-0.06,-0.12,-0.08,0
20120816,0.75,0.45,-0.16,-0.04,-0.21,0
20120817,0.27,0.61,0.11,0.03,-0.16,0
20120820,-0.06,-0.44,0.58,-0.2,0.13,0
20120821,-0.31,0.17,0.43,-0.04,-0.07,0
20120822,0,-0.5,-0.35,-0.22,-0.32,0
20120823,-0.78,-0.06,-0.35,-0.15,0.11,0
20120824,0.61,-0.29,-0.03,-0.11,0.16,0
20120827,-0.06,0.13,-0.1,0.01,-0.16,0
20120828,0.01,0.56,-0.11,-0.02,0,0
20120829,0.15,0.26,0.11,-0.19,0.11,0
20120830,-0.8,-0.44,-0.04,-0.01,0.22,0
20120831,0.52,-0.08,-0.03,-0.07,-0.27,0
20120904,0.08,0.94,-0.19,-0.26,0.06,0
20120905,-0.05,-0.06,0.36,-0.15,0.07,0
20120906,2.07,-0.05,0.33,-0.15,0.09,0
20120907,0.45,0.08,0.76,-0.05,0.07,0
20120910,-0.57,0.32,-0.07,0.16,0.35,0
20120911,0.28,0.07,0.51,-0.09,0.17,0
20120912,0.27,0.13,0.28,-0.46,0.05,0
20120913,1.56,-0.33,0.53,-0.32,0.02,0
20120914,0.54,0.56,0.46,-0.11,-0.39,0
20120917,-0.42,-0.29,-0.71,0.22,-0.17,0
20120918,-0.15,-0.04,-0.22,-0.04,0.05,0
20120919,0.18,-0.15,0.03,-0.12,0.28,0
20120920,-0.13,-0.44,-0.12,0.05,0.18,0
20120921,0.04,0.46,-0.01,-0.22,0.12,0
20120924,-0.26,-0.13,0.35,-0.08,0.4,0
20120925,-1.11,-0.37,-0.33,0.04,0.33,0
20120926,-0.57,-0.05,0.01,0.15,0.11,0
20120927,0.99,0.22,-0.13,-0.11,-0.32,0
20120928,-0.46,-0.29,-0.23,0,0,0
20121001,0.26,0.11,0.22,0.06,0.15,0
20121002,0.1,-0.16,0.25,-0.17,0.05,0
20121003,0.36,-0.68,-0.03,-0.39,0.43,0
20121004,0.76,-0.08,0.7,-0.14,0.21,0
20121005,-0.03,-0.17,0.23,-0.13,0.62,0
20121008,-0.36,-0.2,0.19,0.02,0.08,0
20121009,-1.05,-0.26,0.33,0.12,0.08,0
20121010,-0.58,0.4,0.28,-0.36,0.29,0
20121011,0.11,0.35,0.62,-0.18,0.12,0
20121012,-0.34,-0.39,-0.87,0.53,-0.19,0
20121015,0.79,-0.2,0.12,-0.23,0.27,0
20121016,1,-0.28,-0.22,0.21,-0.58,0
20121017,0.49,0.25,1.05,-0.61,0.41,0
20121018,-0.31,-0.49,0.24,-0.06,0.46,0
20121019,-1.68,-0.35,0.46,-0.12,0.42,0
20121022,0.01,-0.07,0.18,0.14,-0.19,0
20121023,-1.29,0.91,-0.49,-0.04,-0.02,0
20121024,-0.28,-0.17,0.41,-0.43,0.18,0
20121025,0.27,0.23,0.03,0.07,-0.09,0
20121026,-0.07,-0.2,-0.43,0.38,-0.21,0
20121031,0.14,0.56,0.37,0.04,0.1,0
20121101,1.19,0.24,0.14,0.25,0.03,0
20121102,-1.04,-0.47,0.24,0.31,0.47,0
20121105,0.28,0.38,-0.22,-0.1,-0.21,0
20121106,0.8,0.02,0.53,0.23,0.15,0
20121107,-2.31,-0.21,-1.34,0.23,0.08,0
20121108,-1.24,-0.24,0.44,-0.26,0.37,0
20121109,0.15,-0.01,-0.11,0.02,-0.09,0
20121112,0,-0.16,0.02,0.06,0.01,0
20121113,-0.4,-0.21,-0.29,0.02,0.23,0
20121114,-1.4,-0.37,-0.19,0.09,-0.27,0
20121115,-0.24,-0.33,0.22,0.13,-0.01,0
20121116,0.58,0.03,0.07,-0.35,0.21,0
20121119,1.98,0.24,-0.06,0.45,-0.18,0
20121120,0.11,-0.05,0.17,-0.36,0.17,0
20121121,0.31,0.34,-0.15,-0.02,0.09,0
20121123,1.28,-0.15,0.08,0.12,-0.02,0
20121126,-0.14,0.51,-0.18,-0.08,-0.28,0
20121127,-0.43,0.4,-0.2,0,0.02,0
20121128,0.83,0.01,-0.31,0.31,-0.15,0
20121129,0.54,0.7,0,-0.19,-0.18,0
20121130,0.02,-0.16,0.28,-0.15,0.34,0
20121203,-0.46,0.29,0.24,-0.04,0.07,0.001
20121204,-0.16,0.36,-0.03,0,0.04,0.001
20121205,0.17,-0.6,0.88,-0.53,0.61,0.001
20121206,0.31,-0.18,-0.11,0.17,-0.16,0.001
20121207,0.27,-0.34,0.29,-0.07,0.4,0.001
20121210,0.11,0.42,-0.05,-0.1,-0.02,0.001
20121211,0.68,0.41,-0.08,-0.32,-0.23,0.001
20121212,-0.02,-0.65,0.52,-0.31,0.22,0.001
20121213,-0.58,0.09,0.07,0.1,0.12,0.001
20121214,-0.34,0.31,0.23,-0.17,0.33,0.001
20121217,1.16,0,0.62,-0.43,0.06,0.001
20121218,1.2,0.38,0.08,0.11,-0.59,0.001
20121219,-0.6,0.62,0.27,-0.01,-0.25,0.001
20121220,0.53,-0.16,0.75,-0.43,0.21,0.001
20121221,-0.88,0.44,-0.27,0.23,-0.15,0.001
20121224,-0.24,-0.21,-0.02,-0.13,0.17,0.001
20121226,-0.54,-0.13,0.31,-0.14,0.18,0.001
20121227,-0.11,-0.03,-0.13,0.16,-0.04,0.001
20121228,-1,0.46,0.03,-0.09,0.11,0.001
20121231,1.71,0.37,-0.12,0.12,-0.25,0.001
20130102,2.62,0.12,0.38,-0.64,0.01,0
20130103,-0.14,0.14,0.04,0.18,0.27,0
20130104,0.55,0.18,0.36,-0.36,0.24,0
20130107,-0.31,-0.12,-0.35,-0.1,-0.14,0
20130108,-0.27,0.04,0,-0.16,0.1,0
20130109,0.34,0.23,-0.4,-0.04,-0.18,0
20130110,0.66,-0.59,0.49,-0.19,0.06,0
20130111,0.02,0.05,-0.43,0.23,-0.21,0
20130114,-0.06,0.03,-0.05,-0.07,0.32,0
20130115,0.19,0.26,0,-0.09,0.05,0
20130116,-0.04,-0.25,0.23,-0.02,-0.02,0
20130117,0.61,0.4,-0.1,0.19,0,0
20130118,0.29,0.04,-0.09,0.18,0.25,0
20130122,0.48,0.21,0.44,-0.24,0.11,0
20130123,0.1,-0.35,-0.13,-0.14,-0.12,0
20130124,0.09,0.37,0.04,0.08,0.47,0
20130125,0.59,-0.14,-0.32,-0.16,-0.14,0
20130128,-0.14,0.38,0.15,-0.03,-0.02,0
20130129,0.36,-0.44,0.31,-0.12,0.33,0
20130130,-0.38,-0.85,0.16,-0.1,0,0
20130131,-0.08,0.71,0.17,-0.21,0.05,0
20130201,0.99,0.08,0.24,-0.27,-0.03,0
20130204,-1.19,-0.11,-0.17,0,-0.02,0
20130205,1.07,-0.04,0.14,-0.01,-0.1,0
20130206,0.15,0.29,0.14,-0.15,0.02,0
20130207,-0.15,-0.06,0.02,0.19,-0.02,0
20130208,0.58,0.03,-0.18,0.09,-0.45,0
20130211,-0.08,-0.02,0.38,-0.18,0.3,0
20130212,0.16,0.27,0.72,-0.56,0.46,0
20130213,0.14,0.07,0.01,0,-0.02,0
20130214,0.11,0.27,0.12,-0.36,-0.19,0
20130215,-0.11,0.02,-0.09,-0.03,0.16,0
20130219,0.74,0.26,0.15,-0.08,0.38,0
20130220,-1.36,-0.6,-0.61,0.29,0.1,0
20130221,-0.66,-0.29,-0.03,0.03,0.26,0
20130222,0.94,0.21,-0.04,-0.16,-0.1,0
20130225,-1.82,-0.24,-0.72,0.62,-0.38,0
20130226,0.58,-0.17,0.04,0.03,0.25,0
20130227,1.29,-0.32,0.15,-0.19,0.01,0
20130228,-0.05,0.12,-0.13,0.04,0,0
20130301,0.22,0.13,-0.3,-0.11,-0.02,0
20130304,0.47,-0.36,0.11,-0.37,0.48,0
20130305,1.01,0.15,-0.17,0.02,0.01,0
20130306,0.18,0.14,0.47,-0.22,0.13,0
20130307,0.27,0.21,0.43,-0.22,0.03,0
20130308,0.52,0.38,-0.16,0.01,0,0
20130311,0.3,-0.28,0.26,0.01,0.03,0
20130312,-0.22,0.02,-0.18,0.27,0.07,0
20130313,0.2,0.23,0.14,0.08,0.26,0
20130314,0.58,0.41,0.4,-0.05,-0.04,0
20130315,-0.19,0.12,0.39,0.2,0.03,0
20130318,-0.5,0.12,-0.29,0.36,0.03,0
20130319,-0.24,-0.03,0.01,0.13,0.39,0
20130320,0.76,0.21,-0.01,-0.24,0.24,0
20130321,-0.85,0.14,-0.26,0.01,0.08,0
20130322,0.62,-0.48,-0.25,0.15,-0.1,0
20130325,-0.29,0.31,0.02,0.08,-0.03,0
20130326,0.76,-0.4,-0.21,0.1,-0.11,0
20130327,-0.02,0.09,-0.29,0.11,-0.13,0
20130328,0.39,-0.31,-0.27,-0.16,0.05,0
20130401,-0.57,-0.89,0.02,0.14,0.22,0
20130402,0.33,-0.88,-0.27,-0.1,0.04,0
20130403,-1.16,-0.39,-0.11,0.54,-0.15,0
20130404,0.42,0.24,0.26,-0.08,0.27,0
20130405,-0.41,0.08,0.31,-0.1,0.27,0
20130408,0.7,0.11,0.26,-0.36,0.14,0
20130409,0.31,-0.42,0.17,0,-0.38,0
20130410,1.28,0.62,-0.08,-0.08,-0.05,0
20130411,0.35,-0.19,-0.18,0.15,0.42,0
20130412,-0.28,-0.15,-0.45,0,0.02,0
20130415,-2.48,-1.46,-0.27,0.06,-0.03,0
20130416,1.47,0.16,0.08,-0.33,-0.08,0
20130417,-1.46,-0.33,-0.52,0.12,0.26,0
20130418,-0.71,0.19,-0.03,0.49,0.13,0
20130419,0.97,0.08,0.1,-0.33,0.2,0
20130422,0.45,-0.2,-0.13,0.23,-0.29,0
20130423,1.11,0.54,0.61,-0.51,0.28,0
20130424,0.06,0.49,1.15,-0.07,-0.19,0
20130425,0.49,0.19,-0.11,-0.06,-0.12,0
20130426,-0.2,-0.37,-0.24,0.08,0.13,0
20130429,0.67,0.07,-0.09,0.23,-0.36,0
20130430,0.29,0.36,-0.01,0.21,-0.31,0
20130501,-1.08,-1.45,-0.17,-0.03,-0.09,0
20130502,1.04,0.55,0.1,-0.49,-0.24,0
20130503,1.12,0.6,0.18,-0.21,-0.27,0
20130506,0.23,0.27,0.83,-0.52,0.11,0
20130507,0.54,0.17,0.15,0.22,0.28,0
20130508,0.44,-0.22,0.15,-0.06,-0.16,0
20130509,-0.31,0.06,-0.25,0.02,-0.21,0
20130510,0.54,0.4,-0.18,-0.3,-0.01,0
20130513,-0.02,-0.24,-0.04,-0.4,0.1,0
20130514,1.1,0.17,0.27,-0.21,0.14,0
20130515,0.51,-0.09,0.21,-0.05,0.33,0
20130516,-0.5,0.17,-0.25,0.11,-0.38,0
20130517,1.04,0.07,0.31,0.09,-0.14,0
20130520,-0.06,0.4,0.48,0.23,-0.2,0
20130521,0.16,-0.07,-0.06,0.2,0.22,0
20130522,-0.92,-0.68,-0.14,0.27,0.34,0
20130523,-0.19,0.48,-0.11,-0.02,0.09,0
20130524,-0.06,0.16,0.07,-0.07,0.01,0
20130528,0.77,0.67,0.23,-0.18,-0.15,0
20130529,-0.7,-0.26,0.59,-0.31,-0.31,0
20130530,0.5,0.36,0.48,-0.53,-0.03,0
20130531,-1.31,0.49,-0.26,0.2,-0.14,0
20130603,0.48,0.17,0.07,0.24,-0.08,0
20130604,-0.55,-0.27,-0.15,0.35,-0.07,0
20130605,-1.38,0.04,-0.24,0.14,-0.14,0
20130606,0.89,0.18,0.21,-0.52,0.35,0
20130607,1.3,-0.44,0.06,-0.28,-0.04,0
20130610,0.07,0.67,0.2,-0.23,-0.15,0
20130611,-1.04,-0.01,-0.57,0.45,0.01,0
20130612,-0.82,0.06,-0.05,0.24,0.18,0
20130613,1.47,0.14,0.34,-0.21,0.3,0
20130614,-0.59,-0.27,-0.57,0.21,-0.04,0
20130617,0.74,-0.06,0.12,-0.24,-0.32,0
20130618,0.8,0.37,-0.08,-0.01,0.01,0
20130619,-1.28,0.2,0.15,-0.08,-0.31,0
20130620,-2.45,0.06,0.4,0.06,-0.15,0
20130621,0.13,0.23,-0.07,-0.15,0.14,0
20130624,-1.19,0.04,-0.66,0.26,-0.13,0
20130625,0.96,0.05,0.81,-0.34,0.3,0
20130626,0.92,-0.71,-0.16,0.03,0.18,0
20130627,0.77,0.84,0.37,-0.46,0.3,0
20130628,-0.33,0.3,-0.13,0.15,-0.3,0
20130701,0.71,0.7,-0.12,-0.35,-0.01,0
20130702,-0.1,0.02,0.05,0.1,-0.09,0
20130703,0.11,0.16,-0.21,0.14,-0.08,0
20130705,1.11,0.4,0.47,-0.34,0.17,0
20130708,0.53,-0.14,0.04,0.18,0.11,0
20130709,0.74,0.05,0.3,-0.01,0.02,0
20130710,0.06,0.3,-0.37,-0.07,-0.11,0
20130711,1.32,-0.17,-0.66,-0.13,-0.16,0
20130712,0.33,-0.04,0.2,-0.67,0.04,0
20130715,0.2,0.54,0.33,-0.01,0.09,0
20130716,-0.41,0.03,0.09,0.12,0.24,0
20130717,0.3,-0.03,0.19,-0.43,0.03,0
20130718,0.54,0.13,0.96,-0.17,0.2,0
20130719,0.09,-0.13,0.27,-0.34,0.48,0
20130722,0.22,0.12,0.33,-0.09,0.08,0
20130723,-0.15,0.13,0.3,-0.05,0.26,0
20130724,-0.39,-0.28,-0.27,0.67,-0.09,0
20130725,0.42,0.49,-0.36,-0.47,-0.22,0
20130726,0.02,-0.63,-0.29,0.14,-0.17,0
20130729,-0.37,-0.3,-0.31,0.33,-0.15,0
20130730,0.12,0.17,-0.5,0.13,-0.06,0
20130731,0.09,0.18,0.13,-0.02,-0.08,0
20130801,1.4,0.08,0.09,-0.18,-0.15,0
20130802,0.2,-0.24,-0.32,-0.02,-0.07,0
20130805,-0.07,0.47,-0.15,-0.05,-0.05,0
20130806,-0.68,-0.35,-0.1,0.32,-0.05,0
20130807,-0.42,-0.38,-0.01,0.33,0.08,0
20130808,0.47,-0.01,0.04,-0.01,0.13,0
20130809,-0.29,0.12,-0.19,0.14,-0.16,0
20130812,-0.02,0.56,-0.23,0.15,-0.07,0
20130813,0.2,-0.28,-0.05,0.04,-0.12,0
20130814,-0.5,0.14,0.29,-0.03,0.06,0
20130815,-1.47,-0.37,0.28,-0.05,0.03,0
20130816,-0.26,0.04,0.13,-0.15,-0.13,0
20130819,-0.62,-0.26,-0.75,0.6,-0.33,0
20130820,0.53,0.87,0.09,-0.32,0.09,0
20130821,-0.59,-0.07,-0.43,-0.1,-0.29,0
20130822,0.93,0.51,0.07,-0.3,-0.2,0
20130823,0.38,-0.27,-0.15,0.11,-0.24,0
20130826,-0.29,0.48,-0.48,-0.12,-0.27,0
20130827,-1.75,-0.75,-0.34,0.64,0.04,0
20130828,0.3,0.11,0.08,0,-0.08,0
20130829,0.34,0.76,-0.44,-0.35,-0.25,0
20130830,-0.47,-1.15,-0.19,0.01,-0.09,0
20130903,0.46,0.05,0.17,-0.49,-0.24,0
20130904,0.83,0,-0.18,-0.11,0.07,0
20130905,0.19,0.19,0.41,-0.19,-0.06,0
20130906,0,-0.01,0.02,-0.17,-0.09,0
20130909,1.09,0.43,-0.22,-0.19,-0.15,0
20130910,0.8,0.06,0.2,-0.13,0.03,0
20130911,0.28,-0.25,0.04,0.19,0.11,0
20130912,-0.32,-0.29,-0.37,0.15,-0.16,0
20130913,0.29,0.28,-0.05,0.16,0.23,0
20130916,0.49,-0.4,0.4,-0.02,0.38,0
20130917,0.54,0.42,-0.13,-0.32,-0.19,0
20130918,1.1,-0.25,-0.47,0.01,-0.2,0
20130919,-0.13,0.1,-0.63,0.09,-0.29,0
20130920,-0.63,0.52,0.2,-0.1,-0.17,0
20130923,-0.45,0.42,-0.42,0.66,-0.21,0
20130924,-0.13,0.5,0.02,-0.11,-0.01,0
20130925,-0.23,0.09,0.58,-0.41,0.04,0
20130926,0.42,0.13,-0.72,0.16,-0.29,0
20130927,-0.39,-0.01,-0.02,0.05,-0.11,0
20130930,-0.49,0.52,0.01,0.13,0.01,0
20131001,0.9,0.38,-0.1,-0.11,-0.22,0
20131002,-0.1,-0.34,-0.07,-0.1,-0.08,0
20131003,-0.88,-0.17,0.19,0.04,0.25,0
20131004,0.74,-0.01,0.11,-0.27,-0.12,0
20131007,-0.95,-0.3,-0.01,0.11,0.16,0
20131008,-1.35,-0.4,0.79,0.6,0.53,0
20131009,-0.05,-0.34,0.62,0.47,0.34,0
20131010,2.23,0.19,-0.04,-0.33,-0.27,0
20131011,0.71,0.77,0,0.12,-0.13,0
20131014,0.44,0.2,-0.09,0.06,-0.12,0
20131015,-0.73,-0.19,0.03,0.28,-0.13,0
20131016,1.37,-0.32,0.17,-0.59,-0.03,0
20131017,0.7,0.11,-0.06,-0.15,0.03,0
20131018,0.72,0.25,0.13,-0.07,-0.42,0
20131021,-0.02,-0.12,0.01,0.27,0.03,0
20131022,0.5,-0.27,0.05,0.23,0.33,0
20131023,-0.51,0.17,-0.33,0.59,0.19,0
20131024,0.42,0.36,-0.3,-0.01,-0.22,0
20131025,0.33,-0.31,0.08,0.15,0.04,0
20131028,0.09,-0.04,0.06,0.35,0.15,0
20131029,0.54,-0.14,-0.06,0.08,0.24,0
20131030,-0.61,-0.74,0.47,0.55,0.05,0
20131031,-0.34,-0.11,-0.45,0.34,0.17,0
20131101,0.2,-0.63,0.23,0.24,0.29,0
20131104,0.47,0.75,-0.06,0.11,-0.07,0
20131105,-0.23,-0.02,-0.25,0.21,-0.08,0
20131106,0.27,-0.81,0.34,0.27,0.19,0
20131107,-1.46,-0.31,0.15,0.12,0.31,0
20131108,1.45,0.59,0.46,-0.5,-0.06,0
